Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Aanbieding (product.metafields.custom.aanbieding),Aantal Spelers (product.metafields.custom.aantal_spelers),Aantal speler 2 (product.metafields.custom.aantal_speler_2),Aantal Stukjes (product.metafields.custom.aantal_stukjes),Activiteit (product.metafields.custom.activiteit),Demospel (product.metafields.custom.demospel),Inhoud doos (product.metafields.custom.inhoud_doos),Leeftijd (product.metafields.custom.leeftijd),Moeilijkheidsgraad (product.metafields.custom.moeilijkheidsgraad),Soort Product (product.metafields.custom.soort_product),Type Spel (product.metafields.custom.soort_spel),Spelduur (product.metafields.custom.spelduur),Spelmechanisme (product.metafields.custom.spelmechanisme),Taal (product.metafields.custom.taal),Thema (product.metafields.custom.thema),Type Accessoires (product.metafields.custom.type_accessoires),Uitgever (product.metafields.custom.uitgever),Weetjes (product.metafields.custom.weetjes),Wereld (product.metafields.custom.wereld),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Aantal productbeoordelingen (product.metafields.reviews.rating_count),Leeftijdsgroep (product.metafields.shopify.age-group),Leeftijdsbeperkingen (product.metafields.shopify.age-restrictions),Kenmerken spelbord (product.metafields.shopify.board-game-features),Bordspelmechanismen (product.metafields.shopify.board-game-mechanics),Type bouwspeelgoed (product.metafields.shopify.building-toy-type),Kleur (product.metafields.shopify.color-pattern),Behendigheidsvaardigheden (product.metafields.shopify.dexterity-skills),Dobbelsteenvorm (product.metafields.shopify.dice-shape),Materiaal versiering/rand (product.metafields.shopify.embellishment-trim-material),Evenementtype (product.metafields.shopify.event-type),Moeilijkheidsgraad spel (product.metafields.shopify.game-difficulty),Gameplay-vaardigheden (product.metafields.shopify.gameplay-skills),Puzzelthema (product.metafields.shopify.puzzle-theme),Type puzzel (product.metafields.shopify.puzzle-type),Aanbevolen leeftijdsgroep (product.metafields.shopify.recommended-age-group),Thema (product.metafields.shopify.theme),Materiaal speelgoed/spel (product.metafields.shopify.toy-game-material),Aanvullende producten (product.metafields.shopify--discovery--product_recommendation.complementary_products),Gerelateerde producten (product.metafields.shopify--discovery--product_recommendation.related_products),Gerelateerde productinstellingen (product.metafields.shopify--discovery--product_recommendation.related_products_display),Productboosts zoeken (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Nederland,Price / Nederland,Compare At Price / Nederland,Included / Belgie,Price / Belgie,Compare At Price / Belgie,Included / Internationaal,Price / Internationaal,Compare At Price / Internationaal,Status
30-seconds-everyday-life,30 Seconds - Everyday Life,"<p data-mce-fragment=""1""><b data-mce-fragment=""1"">Spectaculair partyspel voor teams met alledaagse begrippen. Fantastisch op feestjes en partijen!</b></p>
<p data-mce-fragment=""1"">De spelers vormen teams. Een van jullie probeert binnen 30 seconden zoveel mogelijk van de 5 begrippen op een kaartje te omschrijven. Hoe meer begrippen je teamgenoten raden, des te meer velden jouw team op het speelbord vooruit mag. Een dobbelsteenworp kan daar nog verandering in brengen. Bereikt jouw team als eerste de finish?</p>
<p data-mce-fragment=""1"">Deze speciale editie bevat begrippen die in het leven van alledag voorbijkomen. Daardoor is<span data-mce-fragment=""1""> </span><b data-mce-fragment=""1"">30 Seconds Everyday Life ook geschikt voor jongere kinderen!</b></p>",999Games,,Gezelschapsspel,"Bordspel, Competitie, Coöperatief, Partyspel, Samenwerken, Test je kennis",,Title,Default Title,,,,,,,,,0,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/files/30secondsEverydayLife1.png?v=1704915662,1,,,,,,,,,,,,,,,,,"3 spelers
4 spelers
5 spelers
6 spelers
7 spelers
8 spelers
9 spelers
10 spelers
meer dan 10 spelers",3 tot 28 spelers,,"Competitie
Samenwerken",,,12+,Makkelijk,,Bordspel,±30 minuten,"Test je kennis
Coöperatief",Nederlands,Partyspel,,999Games,"'- Leuk voor het hele gezin!
- Een partyspel over de dagdagelijkse dingen
- Snel te spelen & lol gegarandeerd!",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
30-seconds-everyday-life,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/files/30secondsEverydayLife2.png?v=1704915662,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-seconds-everyday-life,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/files/30secondsEverydayLife3.png?v=1704915662,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-seconds-junior-partyspel,30 Seconds Junior - Partyspel,"<p>Speciale kindereditie van dit spectaculair partyspel voor teams. Fantastisch voor grote gezelschappen op feestjes en partijen.</p>
<p>Je speelt in teams. Een van jullie probeert binnen 30 seconden zoveel mogelijk van de 5 begrippen op een kaartje te omschrijven. Hoe meer begrippen jullie raden, des te meer velden jullie op het speelbord vooruit mogen. Een dobbelsteenworp kan daar nog verandering in brengen. Welk team bereikt als eerste de finish?</p>",999Games,Uncategorized,Gezelschapsspel,"Bordspel, Competitie, Coöperatief, Partyspel, Samenwerken, Test je kennis",,Title,Default Title,,,,,,,,,0,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/files/30-Seconds-Junior.png?v=1732724864,1,,,,,,,,,,,,,,,,,"3 spelers
4 spelers
5 spelers
6 spelers
7 spelers
8 spelers
9 spelers
10 spelers
meer dan 10 spelers",3 tot 24 spelers,,"Competitie
Samenwerken",,,7+,Makkelijk,,Bordspel,±30 minuten,"Test je kennis
Coöperatief",Nederlands,Partyspel,,999Games,"'- 30 Seconds nu ook voor kinderen vanaf 7 jaar
- Educatief speelplezier
- Bevat 480 kaarten met in totaal 2400 woorden",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
30-seconds-junior-partyspel,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/files/30-seconds-Junior-speelmateriaal.png?v=1732724864,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-chapters-kaartspel,3 Chapters - Kaartspel,"<p><span>Word deel van het sprookjesboek en ga drie uitdagingen aan: kies je sprookjesfiguren, stel hen in een slagenspel op de proef en verzamel waardevolle punten om je verhaal te voltooien. Lukt het jou om alle drie hoofdstukken succesvol te doorstaan?</span></p>
<p> </p>",999Games,Toys & Games > Games > Card Games,Gezelschapsspel,demo,,Title,Default Title,,,,,,,,,0,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/files/3-Chapters_L.png?v=1732713019,1,,,,,,,,,,,,,,,,,"2 spelers
3 spelers
4 spelers
5 spelers
6 spelers",2 tot 6 spelers,,Competitie,,,10+,Makkelijk,,Kaartspel,±30 minuten,Slagenspel,Nederlands,"Avontuur
Fantasy",,999Games,"'- Origineel kaartspel
- Kaarten kiezen, slagen spelen en combineren
- Easy to learn, hard to master",,,,,,,,,rood; veelkleurig-25; groen,,,,,,,,,10-jaar-of-ouder,,karton,,,,,,kg,,,,,,,,,,,,
3-chapters-kaartspel,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/files/3Chapters_sfeerfoto3.png?v=1732713018,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-chapters-kaartspel,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/files/3Chapters_sfeerfoto2.png?v=1732713018,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-chapters-kaartspel,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/files/3Chapters_sfeerfoto1.png?v=1732713018,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-chapters-kaartspel,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/files/3Chapters_speelsituatiemetdoos.png?v=1732713019,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-torens-kaartspel,5 Torens - Kaartspel,"<p><span data-offset-key=""9ps52-0-0"">In 5 Torens ben je een meesterarchitect die de juiste kaarten kiest om de hoogste torens te bouwen. De kaarten uit het aanbod gaan naar de speler die het meeste biedt, maar let goed op! Omdat je slechts 1 toren van elk type toren kunt bouwen, beperk je je </span><span>mogelijkheden als je te veel biedt.</span></p>",White Goblin Games,Uncategorized,Gezelschapsspel,"Bouwen, demo, Film/series, Kaartspel, Middeleeuwen, Set collection",,Title,Default Title,,,,,,,,,0,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/files/5Torens_1.png?v=1708774584,1,,,,,,,,,,,,,,,,,"2 spelers
3 spelers
4 spelers
5 spelers",2 tot 5 spelers,,Bouwen,,,8+,Makkelijk,,Kaartspel,±20 minuten,Set collection,Nederlands,"Film/Series
Middeleeuwen",,White Goblin Games,"'- Elke kaart bevat een referentie naar een bekend personage uit de film/game wereld. 
- Leuk biedmechanisme",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
5-torens-kaartspel,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/files/5Torens2_1.png?v=1708774584,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-rounds,7 Rounds,"<span>In 7 Rounds verzamel je in 7 rondes kaarten met een zo hoog mogelijke waarde. Tijdens het spel heb je vier kaarten op hand en probeer je jouw hand te verbeteren door nieuwe kaarten te pakken van de trekstapel, kaarten te spelen of misschien wel de beste kaarten van jouw tegenstander te stelen. De kaarten in 7 Rounds hebben speciale effecten, waardoor je je punten zomaar kunt verliezen!</span>",White Goblin Games,,Gezelschapsspel,"2 personen, 3 personen, 4 personen, 5 personen, demo, Kaarten, Kaartspel, Leeftijd 8+, Makkelijk, Makkelijk te leren, Nederlands, Set collection, Setjes, snel, vakantie, Verzamelen, White Goblin Games, ± 15 minuten",,Title,Default Title,,,,,,,,,0,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/products/3D_7R_Box_Transparant_1.png?v=1682167273,1,,,,,,,,,,,,,,,,,"2 spelers
4 spelers
3 spelers
5 spelers",2 tot 5 spelers,,Verzamelen,,,8+,Makkelijk,,Kaartspel,±15 minuten,Set collection,Nederlands,Abstract,,White Goblin Games,"'- Makkelijk te leren, en snel op tafel.
- Ideaal voor op vakantie!",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
7-wonders,7 Wonders,"<span data-mce-fragment=""1"">Het bordspel 7Wonders is compleet vernieuwd! Naast een visuele update bevat deze nieuwe editie ook diverse spelonderdelen die aangepast zijn. Zo is de indeling en achterzijde van de kaarten aangepast, zijn de spelregels overzichtelijker gemaakt en zijn de Wonder borden iets groter geworden. Deze aanpassingen zorgen ervoor dat het spel nog beter speelbaar is en dus ook meer geschikt voor nieuwe spelers.</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Doel van het spel blijft hetzelfde bij deze nieuwe editie: Leid één van de zeven grote steden tijdens de Oudheid, ontwikkel jouw stad via wetenschappelijke ontdekkingen, militaire veroveringen, commerciële overeenkomsten en prestigieuze bouwwerken en leid jouw beschaving naar de grootste welvaart!</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Een spel wordt in 3 ronden gespeeld, genaamd Tijdperken, waarin je tegelijkertijd</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">kaarten speelt om jouw stad te ontwikkelen. Aan het einde van elk tijdperk wordt de militaire macht van de speler vergeleken met de steden van zijn twee buren (naburige steden). Na Tijdperk III bepaal je het aantal overwinningspunten van jouw stad, Wonder, militaire successen en muntenwaarde. De speler met de hoogste totaalscore wint het spel.</span>",Asmodee,,Gezelschapsspel,"2 personen, 3 personen, 4 personen, 5 personen, 6 personen, 7 personen, 7 Wonders, Beschaving, Bordspel, Bouwen, Egypte, Familiespel, Gemiddeld, Genomineerd, Leeftijd 10+, meer dan 5 spelers, Oudheid, Set collection, Spelbord, ± 45 minuten",,Title,Default Title,,,,,,,,,0,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/files/rep01-101_1_1.png?v=1692266153,1,,,,,,,,,,,,,,,,,"3 spelers
4 spelers
5 spelers
6 spelers
7 spelers",3 tot 7 spelers,,Bouwen,,,10+,Gemiddeld,,Bordspel,±30 minuten,"Strategisch
Set collection",Nederlands,"Beschaving
Economie",,Repos,"'- Het meest bekroonde spel ter wereld
- 3 tot 7 spelers!",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
7-wonders,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/files/rep01-101_7_1.png?v=1692266153,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-wonders,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/files/rep01-101_2_1.png?v=1692266148,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-wonders,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/files/rep01-101_4_1.png?v=1692266151,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-wonders-armada,7 Wonders Armada,,Asmodee,,Gezelschapsspel,,,Title,Default Title,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
7-wonders-duel,7 Wonders Duel,"<p><span data-mce-fragment=""1"">7 Wonders Duel is één van Harry's favoriete tweepersoons spellen. Ontwikkel je wetenschap en je leger, bouw prestigieuze gebouwen en leid je beschaving. Er zijn maar liefst drie manieren om het spel te winnen! Welke manier heeft jouw voorkeur?</span></p>",Asmodee,,Gezelschapsspel,"2 personen, 7 Wonders, Beschaving, Bouwen, demo, duel, Duelleren, Economie, Egypte, Gemiddeld, Kaartspel, Leeftijd 10+, Nederlands, Oudheid, Set collection, Sombreros, Strategisch, ± 30 minuten",,Title,Default Title,,,,,,,,,800,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/products/Cover_1bb7a5eb-43e7-4401-a32e-39f69d4d6abe.jpg?v=1658310449,1,,,,,,,,,,,,,,,,,"Duel 
2 spelers",2 spelers,,"Bouwen
Duelleren",,,10+,Gemiddeld,,Kaartspel,±30 minuten,"Set collection
Strategisch",Nederlands,"Economie
Beschaving",,Sombreros,"'- Het is een standalone spel in de wereld van 7 Wonders
- Grote herspeelbaarheid door de drie verschillende manieren om te winnen én de 12 verschillende Wonders",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
